technician,primary,enough,no,may,rarely,low,no,no
technician,secondary,enough,no,jan,rarely,low,no,no
management,unknown,enough,no,may,rarely,low,no,no
management,tertiary,middle,no,apr,not,low,no,yes
blue-collar,secondary,middle,no,may,not,low,no,no
management,tertiary,less,no,jul,rarely,low,no,no
blue-collar,primary,enough,no,may,rarely,low,no,no
admin.,secondary,rich,no,jun,not,low,no,yes
technician,tertiary,enough,no,jan,rarely,low,no,no
unemployed,primary,less,no,jan,not,low,no,no
blue-collar,secondary,less,no,may,not,low,no,no
technician,secondary,enough,no,may,rarely,half,no,no
blue-collar,secondary,less,no,apr,not,low,yes,no
admin.,unknown,rich,no,nov,not,low,no,yes
blue-collar,primary,middle,no,feb,not,low,no,no
blue-collar,secondary,less,no,may,rarely,low,no,no
retired,primary,middle,no,mar,not,low,no,yes
blue-collar,secondary,middle,no,may,rarely,low,no,no
blue-collar,primary,less,no,may,rarely,low,no,no
services,secondary,middle,no,may,rarely,low,yes,no
management,tertiary,middle,no,jul,not,low,no,yes
technician,tertiary,enough,no,may,not,half,no,yes
admin.,secondary,less,no,jan,not,low,no,no
retired,secondary,rich,no,jul,rarely,low,no,yes
admin.,secondary,enough,no,may,not,half,no,yes
student,tertiary,less,no,aug,rarely,half,no,yes
management,tertiary,enough,no,aug,rarely,low,yes,yes
entrepreneur,secondary,enough,yes,may,rarely,low,no,no
self-employed,secondary,enough,yes,may,rarely,low,no,no
services,secondary,enough,no,may,rarely,low,no,no
blue-collar,primary,rich,no,jun,rarely,low,no,no
blue-collar,secondary,less,no,may,not,low,no,no
retired,secondary,enough,no,may,rarely,low,yes,no
unknown,primary,enough,no,aug,rarely,low,no,no
blue-collar,secondary,rich,no,jun,always,low,no,no
admin.,secondary,middle,no,apr,rarely,low,no,yes
retired,secondary,middle,no,jul,rarely,low,yes,yes
entrepreneur,tertiary,less,no,jul,not,low,no,no
retired,tertiary,less,no,oct,not,low,yes,yes
retired,primary,rich,yes,jul,rarely,low,no,no
blue-collar,secondary,middle,yes,may,not,low,no,no
housemaid,primary,middle,no,jun,not,low,yes,yes
unknown,unknown,enough,no,aug,rarely,half,no,yes
retired,primary,middle,no,jul,rarely,low,no,yes
technician,secondary,enough,no,aug,rarely,half,no,yes
technician,primary,enough,no,may,rarely,low,no,no
self-employed,secondary,enough,no,jul,rarely,low,no,no
technician,tertiary,rich,no,may,rarely,low,yes,no
admin.,secondary,middle,no,aug,rarely,low,no,yes
blue-collar,secondary,enough,no,may,rarely,low,no,no
management,tertiary,middle,yes,jul,rarely,low,yes,no
self-employed,secondary,middle,no,aug,rarely,low,no,yes
services,secondary,rich,no,may,rarely,low,no,no
technician,secondary,middle,no,jan,not,low,no,no
admin.,secondary,middle,no,may,not,low,no,no
services,primary,middle,no,jun,rarely,low,yes,no
technician,tertiary,enough,no,jan,rarely,low,no,no
admin.,secondary,less,yes,may,not,half,no,no
management,tertiary,rich,no,nov,not,low,no,yes
management,tertiary,rich,no,aug,not,low,yes,yes
technician,secondary,enough,no,aug,rarely,low,no,no
technician,unknown,middle,no,jul,rarely,low,no,no
technician,tertiary,less,no,jun,not,low,no,no
unknown,secondary,rich,no,aug,rarely,low,no,yes
technician,secondary,enough,no,may,rarely,low,no,no
blue-collar,secondary,middle,yes,jun,rarely,low,yes,no
services,secondary,enough,no,jul,rarely,low,no,no
admin.,tertiary,enough,yes,may,rarely,low,no,no
services,secondary,less,no,mar,rarely,half,yes,yes
management,tertiary,less,no,may,rarely,low,no,no
technician,secondary,enough,no,jun,not,low,yes,no
blue-collar,primary,rich,no,nov,not,high,no,no
technician,tertiary,middle,no,may,not,low,no,no
services,secondary,enough,no,apr,rarely,low,no,no
blue-collar,secondary,enough,no,may,rarely,low,no,no
admin.,secondary,enough,no,feb,rarely,low,no,no
management,tertiary,middle,no,jun,not,low,no,yes
blue-collar,secondary,enough,no,may,rarely,low,no,no
services,secondary,enough,no,may,not,half,no,yes
technician,tertiary,rich,no,dec,not,low,no,yes
blue-collar,primary,middle,no,mar,not,low,no,yes
self-employed,tertiary,rich,no,nov,rarely,low,no,yes
management,secondary,enough,no,may,rarely,half,no,yes
blue-collar,secondary,less,no,may,not,low,no,no
technician,tertiary,rich,no,jun,rarely,low,no,yes
entrepreneur,primary,enough,yes,may,not,half,no,no
technician,secondary,enough,no,feb,rarely,low,yes,no
technician,secondary,middle,no,may,rarely,low,no,no
entrepreneur,primary,enough,no,nov,rarely,low,no,no
management,tertiary,middle,no,aug,rarely,low,no,yes
unemployed,primary,middle,no,oct,not,low,no,yes
admin.,secondary,enough,no,jul,rarely,low,no,no
technician,secondary,enough,no,jul,not,low,no,no
technician,tertiary,rich,no,aug,always,low,no,yes
technician,tertiary,less,yes,aug,rarely,low,no,no
services,secondary,less,no,jul,not,low,no,no
blue-collar,secondary,enough,yes,jul,rarely,low,no,no
unemployed,secondary,rich,no,jan,not,low,no,no
retired,tertiary,enough,yes,jul,not,low,no,yes
blue-collar,primary,middle,no,jul,rarely,low,no,no
unemployed,primary,middle,no,oct,not,low,no
services,secondary,rich,yes,may,not,half,no
management,tertiary,middle,no,apr,not,low,no
management,tertiary,middle,yes,jun,rarely,low,no
blue-collar,secondary,less,no,may,not,low,no
management,tertiary,middle,no,feb,rarely,half,no
self-employed,tertiary,enough,no,may,not,half,no
technician,secondary,enough,no,may,rarely,low,no
entrepreneur,tertiary,enough,no,may,rarely,low,no
services,primary,less,yes,apr,not,half,no
services,secondary,rich,no,may,not,low,no
admin.,secondary,enough,no,apr,rarely,low,no
technician,tertiary,middle,no,aug,rarely,low,no
student,secondary,middle,no,apr,not,low,yes
blue-collar,secondary,enough,yes,jan,not,low,no
management,tertiary,enough,yes,aug,rarely,low,no
technician,secondary,rich,no,aug,rarely,low,no
admin.,tertiary,middle,no,apr,not,half,no
blue-collar,primary,less,no,may,not,low,no
services,secondary,enough,no,jul,not,low,no
management,unknown,less,no,nov,rarely,low,no
management,tertiary,enough,no,nov,rarely,low,no
services,secondary,enough,no,jun,rarely,low,no
entrepreneur,secondary,enough,no,jul,rarely,low,no
housemaid,tertiary,middle,no,jan,rarely,low,no
management,tertiary,rich,no,nov,rarely,low,no
blue-collar,primary,middle,no,may,not,low,no
retired,unknown,middle,no,aug,not,half,no
self-employed,secondary,middle,yes,jul,rarely,low,no
admin.,secondary,enough,yes,aug,rarely,low,no
retired,secondary,rich,no,jul,rarely,low,yes
technician,secondary,enough,no,aug,rarely,low,no
management,secondary,enough,no,nov,not,low,no
management,tertiary,rich,no,aug,rarely,low,yes
technician,tertiary,middle,no,aug,rarely,low,yes
admin.,secondary,middle,no,may,not,low,no
retired,primary,enough,no,oct,not,low,yes
blue-collar,secondary,middle,no,nov,not,low,yes
management,secondary,rich,no,may,not,half,yes
services,tertiary,enough,no,may,always,low,no
management,tertiary,rich,no,nov,rarely,half,no
management,tertiary,middle,no,aug,rarely,low,no
blue-collar,secondary,middle,no,may,not,low,no
technician,tertiary,enough,no,may,rarely,low,no
technician,tertiary,middle,no,nov,rarely,low,no
management,tertiary,middle,no,may,rarely,low,no
blue-collar,primary,enough,no,feb,rarely,half,no
blue-collar,primary,less,no,may,not,low,no
entrepreneur,primary,less,yes,feb,not,low,no
admin.,unknown,rich,no,jan,not,low,yes
